ID_Cliente,Nombre_Cliente,Edad,Ciudad,Dirección,Región,Teléfono,Categoría_Cliente
af1ad3f8-e466-433a-b863-a2f276c73ac1,Luis Ángel Salom Cortes,33,Vizcaya,"Pasadizo Jose Miguel Aranda 137 Puerta 3 
Ciudad, 09412",Cajamarca,+34 724 08 68 11,C
94391a91-6394-453e-9992-891ba63570f8,Ani del Bosch,54,Baleares,"Plaza de Teodosio Crespo 922
Córdoba, 69453",Madre de Dios,+34739 227 216,D
03ef1528-697d-40a6-838b-90866028b13b,Pánfilo Castilla Pascual,45,Alicante,"Acceso de Matías Aroca 92 Apt. 13 
Barcelona, 46459",Piura,+34 874 29 20 48,C
d77c675f-c425-4cb0-85c4-fa8d6e0410f1,Candelaria Barrios Salvà,55,Ourense,"Alameda Virginia López 63
León, 96414",Ayacucho,+34674 06 26 51,D
8a5195ab-5cc6-4960-8c81-ff524a37880c,Ramiro Vélez Soriano,48,Santa Cruz de Tenerife,"Pasaje de Ágata Atienza 217
Ávila, 06922",Arequipa,+34 731996171,A
2979ab96-bd34-4107-b8f1-08957c614309,Carina Puga Navarrete,28,Cádiz,"Paseo de Berta Molina 626 Piso 8 
Santa Cruz de Tenerife, 30327",Puno,+34724133500,B
f64d643e-7b55-45b5-9d76-9348b6230eaa,Odalis Maza Nicolás,40,Ceuta,"Via José Manuel Cañete 2 Piso 3 
Ourense, 01763",Huancavelica,+34830672882,A
7589bdfd-31d9-40c1-8df6-3adc948a31f7,Esmeralda Beltran Iborra,42,Cuenca,"Acceso de Luis Miguel Barrios 9 Apt. 12 
Cuenca, 29440",Huancavelica,+34643424113,D
3926d1c6-aede-41cf-b260-9b8268508949,Alberto Llanos-Albero,36,Cantabria,"Calle Héctor Carreño 87
La Coruña, 90251",Ayacucho,+34 629 83 97 50,B
e80af883-bf90-4a7d-b159-b083ac161664,Adelaida Vila Piñeiro,30,Teruel,"Avenida Sabas Viñas 9 Apt. 96 
Toledo, 78937",Huancavelica,+34719 097 858,A
b58a624f-c1b0-4aa2-aa22-496efb9b41a1,Almudena del Gimeno,28,Cuenca,"Calle Sandalio Piñol 324 Apt. 08 
Málaga, 39953",San Martín,+34 719188775,B
223b117a-0ac6-43f8-ab29-320bbb150640,Anna Marín Aguado,48,Zamora,"Pasadizo José Manuel Garzón 25 Puerta 9 
Asturias, 31561",Apurímac,+34 740 404 461,C
7d300bc2-f615-453b-bcc5-6f6bf2b0ff83,Isaac Amaro Fabregat Checa,30,Toledo,"Callejón Toribio Blanca 881
Ávila, 65859",Ica,+34803 793 783,D
58442ccc-1d40-4fe1-a3ac-c13b61cded5c,Azucena Sedano-Cobo,20,Asturias,"Calle Encarnacion Luján 26 Apt. 18 
Málaga, 04273",Ayacucho,+34 639 612 761,B
63f8c903-8d89-4f7f-b200-e6b5848904aa,Emilio del Pereira,34,Castellón,"Alameda Marcial Lamas 49
Ciudad, 88635",Ayacucho,+34 740317889,A
d24115d2-bbf7-4530-9ca0-1fe39900439e,Marino Heras Requena,37,Córdoba,"Alameda de Martirio Calvo 4
Álava, 87332",Ica,+34744 268 134,D
67d5806c-fe7b-4c87-a479-7b38a039534b,Dionisio Muro Mancebo,35,Las Palmas,"Avenida de Fortunata Quintana 502
Málaga, 13285",Huánuco,+34 990076554,B
34f77337-52a7-40ff-a9fa-27ceb7334f61,Paloma Torrent Salvà,32,Badajoz,"C. Roberto Duarte 39
Sevilla, 92828",Moquegua,+34707 432 078,B
f0d605d7-5f2d-4189-90c4-65d660c0d6fd,Virginia Menendez Quintero,60,Castellón,"Paseo Crescencia Burgos 94
Melilla, 21208",Junín,+34726 88 95 86,A
99264306-87c5-4eea-af06-90e191034284,Custodia Terrón Pedrero,29,Sevilla,"Cañada de Estrella Pozo 84
Santa Cruz de Tenerife, 99324",Lima,+34726 139 355,D
eadad61f-91d4-4f86-8360-a80c0c5bf243,Susanita Catalina Mateu Boada,41,Tarragona,"Rambla Isidoro Izquierdo 462 Puerta 3 
Navarra, 06358",Puno,+34813 31 93 31,B
9cf1c387-23cf-4ea6-b455-d58addce83bb,Aurora Peñalver-Manso,43,Guipúzcoa,"Camino Plinio Bravo 63 Puerta 7 
Badajoz, 41947",Áncash,+34 720 782 155,B
690086d5-a617-4e10-9efb-da8598e3c148,Jose Carlos Llorente Berrocal,23,Ourense,"Camino Azucena Villaverde 68 Puerta 4 
Salamanca, 32336",Tumbes,+34 719 90 29 16,C
a3e9f111-6be9-4767-b886-02b05da02af7,Toño Alberola Mate,55,Álava,"Vial de Sebastián Bernad 65
Almería, 95281",Ayacucho,+34743 94 16 46,B
9cd5eecf-014a-4727-8aab-7b694089c6e3,Laura Carrasco Posada,53,Vizcaya,"Camino de Delia Solé 24
Salamanca, 68631",Huancavelica,+34729690481,A
d0e460c1-b36d-45a5-9e26-5116bf40e160,América Valenzuela Nicolás,19,Asturias,"Rambla de Severino Guardiola 90 Piso 1 
Asturias, 62648",Loreto,+34 706011928,C
4873bfd6-0b8e-4bd8-a2f4-603d0176e1a5,Marcos Fonseca,34,Baleares,"Plaza José Ángel Villena 66
Málaga, 83007",Tumbes,+34 995481683,D
cdb8fd80-3aa2-4823-bdee-73d50a417b68,Fermín Alvarez Donaire,23,Almería,"Camino Melchor Miguel 36 Puerta 2 
Santa Cruz de Tenerife, 45894",Pasco,+34 989 44 98 96,A
5b896c5a-f919-42c7-bf76-c69c0b48149e,Evaristo Salmerón Lloret,23,Barcelona,"Pasaje de Juan Carlos Osuna 53 Puerta 3 
Almería, 97025",Huánuco,+34 957260160,C
f4979fb4-8768-431c-a1f7-50cbee1db345,León Geraldo Asenjo Costa,28,Segovia,"Cuesta de Jacobo Salcedo 15 Piso 7 
Valencia, 53614",Ayacucho,+34 717 853 239,A
77c417c4-222f-4be8-9cc7-fbed2c602d4a,Germán Sobrino Enríquez,42,Ávila,"Ronda de Olga Fortuny 93
Córdoba, 28927",San Martín,+34841671196,C
3137354b-d177-43df-892c-6c03a7d6054c,Dionisio Ezequiel Pinedo Arnaiz,24,Melilla,"Acceso Florencia Morell 94
La Rioja, 76196",Puno,+34 727256750,B
34c75fc0-25fb-4d40-b735-80ad6552075e,Rómulo Sedano Olivé,45,Cuenca,"Cuesta Sabas Acedo 80
Castellón, 97146",Tacna,+34667 223 574,C
d88d40cb-02e7-4d3f-9aa2-4ca7d210fe74,Jerónimo Hierro,47,Valladolid,"C. de Teo Rebollo 81 Apt. 78 
Navarra, 81650",Tacna,+34 679 82 34 60,A
70add460-655b-47ed-81ca-b98c01ee66cc,Araceli de Torrecilla,42,Zamora,"Cañada Nieves Simó 98 Puerta 5 
Tarragona, 46127",Arequipa,+34 715199450,C
4288bf66-c4cd-45a4-b899-75d45ea1689e,Lucas Ariza Romeu,45,Guipúzcoa,"Acceso Espiridión Pedrero 93
Segovia, 68375",Ica,+34 709508893,B
0126dbca-00a7-41b8-9708-91c13581654d,Teófilo Granados Oliva,32,Valladolid,"Callejón Camila Oliveras 135
Las Palmas, 38998",La Libertad,+34 741 268 621,A
